「どこの身うちだ。」	親分なんてねえ。	「フン、そうか。」
　乞食はしばらく考えておりましたが、やがて、何を思ったか、こんなふうに切りだしました。	親分の名まえを知っているか。	「そりゃあ聞いているさ。すげえ腕まえだってね。」
魔法使いだよ。	親分にとっちゃ、この明智小五郎って野郎は、敵も同然なんだ。	　赤井寅三は、それを聞くと、乞食の顔を、まじまじとながめていましたが、やがて、ハタと手を打って、
明智にうらみのあるきみとは、おなじ立ち場なんだ。	親分の手下になる気はないか。	　赤井寅三は、それを聞くと、乞食の顔を、まじまじとながめていましたが、やがて、ハタと手を打って、
と、弟子入りを所望するのでした。	親分はきっと喜ぶぜ。	　乞食姿の二十面相の部下は、あたりを見まわしながら、声をひくめていうのでした。
親分はきっと喜ぶぜ。	親分へのみやげに、ひとつ手がらをたてちゃどうだ。	　乞食姿の二十面相の部下は、あたりを見まわしながら、声をひくめていうのでした。
「え、え、今夜だって。そいつあすてきだ。だが、どうしてひっさらおうというんだね。」	親分だ、うまい手だてを工夫したんだよ。	　そして、すぐに家をしらべてくれといって、あいつを自動車に乗せてつれだすんだ。その女といっしょにだよ。むろん自動車の運転手も仲間のひとりなんだ。
「こんなもの、おらあうったことがねえよ。どうすりゃいいんだい。」	親分はね、人殺しが大きらいなんだ。	　弾丸がはいっていないと聞いて、赤井は不満らしい顔をしましたが、ともかくもポケットにおさめ、
おれたちも、なんの気がねもなく仕事ができるというもんだ。	親分が待っているだろう。	　ぐるぐる巻きの明智のからだを、自動車の床にころがして、乞食と赤井とが、客席におさまると、車はいきなり走りだしました。行く先はいわずと知れた二十面相の巣くつです。
